id,en,suggestion,reviewed,source,reviewer,notes
lithologyValueCode-IP1,"tuff, tuffite","toba, tobita","toba, tobita",auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-IP2,volcanic scoria/breccia,escoria/brecha volcánica,escoria/brecha volcánica,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-IP3,volcanic ash,ceniza volcánica,ceniza volcánica,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-IP4,ignimbrite,ignimbrita,ignimbrita,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-IU,ultrabasic igneous,ígnea ultrabásica,ígnea ultrabásica,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-IU1,peridotite,peridotita,peridotita,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-IU2,pyroxenite,piroxenita,piroxenita,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-IU3,"ilmenite, magnetite, ironstone, serpentine","ilmenita, magnetita, ironstone, serpentina","ilmenita, magnetita, ironstone, serpentina",auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-M,metamorphic rock,roca metamórfica,roca metamórfica,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-MA,acid metamorphic,metamórfica ácida,metamórfica ácida,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-MA1,quartzite,cuarcita,cuarcita,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-MA2,"gneiss, migmatite","gneis, migmatita","gneis, migmatita",auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-MA3,"slate, phyllite (pelitic rocks)","pizarra, filita (rocas pelíticas)","pizarra, filita (rocas pelíticas)",auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-MA4,schist,esquisto,esquisto,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-MB,basic metamorphic,metamórfica básica,metamórfica básica,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-MB1,"slate, phyllite (pelitic rocks)","pizarra, filita (rocas pelíticas)","pizarra, filita (rocas pelíticas)",auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-MB2,(green)schist,esquisto verde,esquisto verde,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-MB3,gneiss rich in Fe–Mg minerals,gneis rico en minerales Fe–Mg,gneis rico en minerales Fe–Mg,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-MB4,metamorphic limestone (marble),mármol (caliza metamórfica),mármol (caliza metamórfica),auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-MB5,amphibolite,anfibolita,anfibolita,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-MB6,eclogite,eclogita,eclogita,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-MU,ultrabasic metamorphic,metamórfica ultrabásica,metamórfica ultrabásica,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-MU1,"serpentinite, greenstone","serpentinita, roca verde","serpentinita, roca verde",auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-S,sedimentary rock (consolidated),roca sedimentaria (consolidada),roca sedimentaria (consolidada),auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-SC,clastic sediments,sedimentos clásticos,sedimentos clásticos,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-SC1,"conglomerate, breccia","conglomerado, brecha","conglomerado, brecha",auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-SC2,"sandstone, greywacke, arkose","arenisca, grauvaca, arcosa","arenisca, grauvaca, arcosa",auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-SC3,"silt-, mud-, claystone","limolita, lutita, arcillita","limolita, lutita, arcillita",auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-SC4,shale,lutita,lutita,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-SC5,ironstone,roca ferruginosa,roca ferruginosa,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-SE,evaporites,evaporitas,evaporitas,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-SE1,"anhydrite, gypsum","anhidrita, yeso","anhidrita, yeso",auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-SE2,halite,halita,halita,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-SO,"carbonatic, organic","carbonática, orgánica","carbonática, orgánica",auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-SO1,"limestone, other carbonate rock","caliza, otras carbonatadas","caliza, otras carbonatadas",auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-SO2,marl and other mixtures,marga y otras mezclas,marga y otras mezclas,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-SO3,"coals, bitumen and related rocks","carbones, betún y rocas afines","carbones, betún y rocas afines",auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-U,sedimentary rock (unconsolidated),sedimento (no consolidado),sedimento (no consolidado),auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-UA,anthropogenic/technogenic,antropogénico/tecnogénico,antropogénico/tecnogénico,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-UA1,redeposited natural material,material natural redepositado,material natural redepositado,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-UA2,industrial/artisanal deposits,depósitos industriales/artesanales,depósitos industriales/artesanales,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-UC,colluvial,coluvial,coluvial,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-UC1,slope deposits,depósitos de ladera,depósitos de ladera,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-UC2,lahar,lahar,lahar,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-UE,eolian,eólico,eólico,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-UE1,loess,loess,loess,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-UE2,sand,arena,arena,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-UF,fluvial,fluvial,fluvial,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-UF1,sand and gravel,arena y grava,arena y grava,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-UF2,"clay, silt and loam","arcilla, limo y franco","arcilla, limo y franco",auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-UG,glacial,glacial,glacial,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-UG1,moraine,morrena,morrena,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-UG2,UG2 glacio-fluvial sand,arena glaciofluvial,arena glaciofluvial,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-UG3,UG3 glacio-fluvial gravel,grava glaciofluvial,grava glaciofluvial,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-UK,kryogenic,criogénico,criogénico,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-UK1,periglacial rock debris,detritos rocosos periglaciares,detritos rocosos periglaciares,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-UK2,periglacial solifluction layer,capa de solifluxión periglaciar,capa de solifluxión periglaciar,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-UL,lacustrine,lacustre,lacustre,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-UL1,sand,arena,arena,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-UL2,silt and clay,limo y arcilla,limo y arcilla,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-UM,"marine, estuarine","marino, estuarino","marino, estuarino",auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-UM1,sand,arena,arena,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-UM2,clay and silt,arcilla y limo,arcilla y limo,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-UO,organic,orgánico,orgánico,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-UO1,rainwater-fed moor peat,turba de páramo alimentada por lluvia,turba de páramo alimentada por lluvia,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-UO2,groundwater-fed bog peat,turba de ciénaga alimentada por acuífero,turba de ciénaga alimentada por acuífero,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-UR,weathered residuum,residuo de meteorización,residuo de meteorización,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-UR1,"bauxite, laterite","bauxita, laterita","bauxita, laterita",auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-UU,unspecified deposits,depósitos no especificados,depósitos no especificados,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-UU1,clay,arcilla,arcilla,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-UU2,loam and silt,franco y limo,franco y limo,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-UU3,sand,arena,arena,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-UU4,gravelly sand,arena con grava,arena con grava,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-UU5,"gravel, broken rock","grava, fragmentos de roca","grava, fragmentos de roca",auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
