id,en,suggestion,reviewed,source,reviewer,notes
cementationFabricValueCode-D,Nodular,nodular,nodular,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
cementationFabricValueCode-Pi,Pisolithic,pisolítico,pisolítico,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
cementationFabricValueCode-Pl,Platy,laminar,laminar,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
cementationFabricValueCode-V,Vesicular,vesicular,vesicular,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
cementationContinuityValueCode-B,Broken,rota,rota,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
cementationContinuityValueCode-C,Continuous,continua,continua,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
cementationContinuityValueCode-D,Discontinuous,discontinua,discontinua,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
weatheringValueCode-F,Fresh or slightly weathered,fresco o ligeramente meteorizado,fresco o ligeramente meteorizado,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
weatheringValueCode-S,Strongly weathered,fuertemente meteorizado,fuertemente meteorizado,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
weatheringValueCode-W,Weathered,meteorizado,meteorizado,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
porosityClassValueCode-1,Very low,muy baja,muy baja,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
porosityClassValueCode-2,Low,baja,baja,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
porosityClassValueCode-3,Medium,media,media,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
porosityClassValueCode-4,High,alta,alta,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
porosityClassValueCode-5,Very high,muy alta,muy alta,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
structureGradeValueCode-MO,Moderate,moderada,moderada,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
structureGradeValueCode-MS,Moderate to strong,moderada a fuerte,moderada a fuerte,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
structureGradeValueCode-ST,Strong,fuerte,fuerte,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
structureGradeValueCode-WE,Weak,débil,débil,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
structureGradeValueCode-WM,Weak to moderate,débil a moderada,débil a moderada,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
structureSizeValueCode-CO,Coarse/thick,gruesa,gruesa,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
structureSizeValueCode-EC,Extremely coarse,extremadamente gruesa,extremadamente gruesa,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
structureSizeValueCode-FI,Fine/thin,fina,fina,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
structureSizeValueCode-ME,Medium,media,media,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
structureSizeValueCode-VC,Very coarse/thick,muy gruesa,muy gruesa,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
structureSizeValueCode-VF,Very fine/thin,muy fina,muy fina,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockSizeValueCode-A,Artefacts,artefactos,artefactos,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockSizeValueCode-AC,Coarse artefacts,artefactos gruesos,artefactos gruesos,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockSizeValueCode-AF,Fine artefacts,artefactos finos,artefactos finos,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockSizeValueCode-AM,Medium artefacts,artefactos medios,artefactos medios,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockSizeValueCode-AV,Very fine artefacts,artefactos muy finos,artefactos muy finos,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockSizeValueCode-BL,Boulders and large boulders,bloques y grandes bloques,bloques y grandes bloques,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockSizeValueCode-C,Combination of classes,combinación de clases,combinación de clases,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockSizeValueCode-CS,Coarse gravel and stones,grava gruesa y piedras,grava gruesa y piedras,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockSizeValueCode-FM,Fine and medium gravel/artefacts,grava/artefactos finos y medios,grava/artefactos finos y medios,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockSizeValueCode-MC,Medium and coarse gravel/artefacts,grava/artefactos medios y gruesos,grava/artefactos medios y gruesos,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockSizeValueCode-R,Rock fragments,fragmentos de roca,fragmentos de roca,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockSizeValueCode-RB,Boulders,bloques,bloques,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockSizeValueCode-RC,Coarse gravel,grava gruesa,grava gruesa,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockSizeValueCode-RF,Fine gravel,grava fina,grava fina,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockSizeValueCode-RL,Large boulders,bloques grandes,bloques grandes,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockSizeValueCode-RM,Medium gravel,grava media,grava media,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockSizeValueCode-RS,Stones,piedras,piedras,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockSizeValueCode-SB,Stones and boulders,piedras y bloques,piedras y bloques,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockShapeValueCode-A,Angular,angular,angular,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockShapeValueCode-F,Flat,plano,plano,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockShapeValueCode-R,Rounded,redondeado,redondeado,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockShapeValueCode-S,Subrounded,subredondeado,subredondeado,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockAbundanceValueCode-A,Abundant,abundante,abundante,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockAbundanceValueCode-C,Common,común,común,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockAbundanceValueCode-D,Dominant,dominante,dominante,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockAbundanceValueCode-F,Few,pocos,pocos,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockAbundanceValueCode-M,Many,muchos,muchos,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockAbundanceValueCode-N,None,ninguno,ninguno,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockAbundanceValueCode-S,Stone line,línea de piedras,línea de piedras,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockAbundanceValueCode-V,Very few,muy pocos,muy pocos,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
plasticityValueCode-NPL,Non-plastic,no plástica,no plástica,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
plasticityValueCode-PL,Plastic,plástica,plástica,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
plasticityValueCode-PVP,plastic to very plastic,plástica a muy plástica,plástica a muy plástica,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
plasticityValueCode-SPL,Slightly plastic,ligeramente plástica,ligeramente plástica,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
plasticityValueCode-SPP,slightly plastic to plastic,ligera a plástica,ligera a plástica,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
plasticityValueCode-VPL,Very plastic,muy plástica,muy plástica,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
stickinessValueCode-NST,Non-sticky,no pegajosa,no pegajosa,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
stickinessValueCode-SSS,slightly sticky to sticky,ligera a pegajosa,ligera a pegajosa,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
stickinessValueCode-SST,Slightly sticky,ligeramente pegajosa,ligeramente pegajosa,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
stickinessValueCode-ST,Sticky,pegajosa,pegajosa,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
stickinessValueCode-SVS,sticky to very sticky,pegajosa a muy pegajosa,pegajosa a muy pegajosa,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
stickinessValueCode-VST,Very sticky,muy pegajosa,muy pegajosa,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
consistenceDryValueCode-EHA,Extremely hard,extremadamente duro,extremadamente duro,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
consistenceDryValueCode-HA,Hard,duro,duro,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
consistenceDryValueCode-HVH,hard to very hard,duro a muy duro,duro a muy duro,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
consistenceDryValueCode-LO,Loose,suelto,suelto,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
consistenceDryValueCode-SHA,Slightly hard,ligeramente duro,ligeramente duro,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
consistenceDryValueCode-SHH,slightly hard to hard,ligeramente duro a duro,ligeramente duro a duro,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
consistenceDryValueCode-SO,Soft,blando,blando,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
consistenceDryValueCode-SSH,soft to slightly hard,blando a ligeramente duro,blando a ligeramente duro,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
consistenceDryValueCode-VHA,Very hard,muy duro,muy duro,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
consistenceMoistValueCode-EFI,Extremely firm,extremadamente firme,extremadamente firme,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
consistenceMoistValueCode-FI,Firm,firme,firme,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
consistenceMoistValueCode-FR,Friable,friable,friable,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
consistenceMoistValueCode-LO,Loose,suelto,suelto,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
consistenceMoistValueCode-VFI,Very firm,muy firme,muy firme,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
consistenceMoistValueCode-VFR,Very friable,muy friable,muy friable,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
fragmentsClassValueCode-FGF1,FragmentsGravimetricFraction01,fracción gravimétrica 01,fracción gravimétrica 01,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
fragmentsClassValueCode-FGF2,FragmentsGravimetricFraction02,fracción gravimétrica 02,fracción gravimétrica 02,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
fragmentsClassValueCode-FGF3,FragmentsGravimetricFraction03,fracción gravimétrica 03,fracción gravimétrica 03,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
fragmentsClassValueCode-FGF4,FragmentsGravimetricFraction04,fracción gravimétrica 04,fracción gravimétrica 04,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
fragmentsClassValueCode-FGT,FragmentsGravimetricTotal,fracción gravimétrica total,fracción gravimétrica total,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
fragmentsClassValueCode-FV1,FragmentsVolumetric01,fracción volumétrica 01,fracción volumétrica 01,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
fragmentsClassValueCode-FV2,FragmentsVolumetric02,fracción volumétrica 02,fracción volumétrica 02,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
fragmentsClassValueCode-FV3,FragmentsVolumetric03,fracción volumétrica 03,fracción volumétrica 03,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
fragmentsClassValueCode-FVE,FragmentsVolumetricEstimate,estimación volumétrica de fragmentos,estimación volumétrica de fragmentos,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
fragmentsClassValueCode-FVT,FragmentsVolumetricTotal,fracción volumétrica total,fracción volumétrica total,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
fragmentsSizeValueCode-B,Boulders,bloques,bloques,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
fragmentsSizeValueCode-C,Coarse gravel,grava gruesa,grava gruesa,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
fragmentsSizeValueCode-F,Fine gravel,grava fina,grava fina,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
fragmentsSizeValueCode-L,Large boulders,bloques grandes,bloques grandes,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
fragmentsSizeValueCode-M,Medium gravel,grava media,grava media,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
fragmentsSizeValueCode-S,Stones,piedras,piedras,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
fragmentCoverValueCode-A,Abundant,abundante,abundante,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
fragmentCoverValueCode-C,Common,común,común,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
fragmentCoverValueCode-D,Dominant,dominante,dominante,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
fragmentCoverValueCode-F,Few,pocos,pocos,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
fragmentCoverValueCode-M,Many,muchos,muchos,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
fragmentCoverValueCode-N,None,ninguno,ninguno,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
fragmentCoverValueCode-V,Very few,muy pocos,muy pocos,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
majorLandFormValueCode-L,level land,tierra llana,tierra llana,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
majorLandFormValueCode-LD,depression,depresión,depresión,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
majorLandFormValueCode-LL,plateau,meseta,meseta,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
majorLandFormValueCode-LP,plain,llanura,llanura,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
majorLandFormValueCode-LV,valley floor,fondo de valle,fondo de valle,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
majorLandFormValueCode-S,sloping land,tierra inclinada,tierra inclinada,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
majorLandFormValueCode-SE,medium-gradient escarpment zone,zona de escarpe de gradiente medio,zona de escarpe de gradiente medio,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
majorLandFormValueCode-SH,medium-gradient hill,colina de gradiente medio,colina de gradiente medio,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
majorLandFormValueCode-SM,medium-gradient mountain,montaña de gradiente medio,montaña de gradiente medio,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
majorLandFormValueCode-SP,dissected plain,llanura disectada,llanura disectada,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
majorLandFormValueCode-SV,medium-gradient valley,valle de gradiente medio,valle de gradiente medio,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
majorLandFormValueCode-T,steep land,tierra escarpada,tierra escarpada,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
majorLandFormValueCode-TE,high-gradient escarpment zone,zona de escarpe de gradiente alto,zona de escarpe de gradiente alto,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
majorLandFormValueCode-TH,high-gradient hill,colina de gradiente alto,colina de gradiente alto,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
majorLandFormValueCode-TM,high-gradient mountain,montaña de gradiente alto,montaña de gradiente alto,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
majorLandFormValueCode-TV,high-gradient valley,valle de gradiente alto,valle de gradiente alto,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
physiographyValueCode-BOdl,Bottom (drainage line),fondo (línea de drenaje),fondo (línea de drenaje),auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
physiographyValueCode-BOf,Bottom (flat),fondo (plano),fondo (plano),auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
physiographyValueCode-CR,Crest (summit),cresta (cumbre),cresta (cumbre),auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
physiographyValueCode-HI,Higher part (rise),parte alta (elevación),parte alta (elevación),auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
physiographyValueCode-IN,Intermediate part (talf),parte intermedia (talvegue),parte intermedia (talvegue),auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
physiographyValueCode-LO,Lower part (and dip),parte baja (y buzamiento),parte baja (y buzamiento),auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
physiographyValueCode-LS,Lower slope (foot slope),ladera baja (pie de ladera),ladera baja (pie de ladera),auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
physiographyValueCode-MS,Middle slope (back slope),ladera media,ladera media,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
physiographyValueCode-TS,Toe slope,pie de ladera,pie de ladera,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
physiographyValueCode-UP,Upper slope (shoulder),ladera alta (hombro),ladera alta (hombro),auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
slopeFormValueCode-C,concave,cóncava,cóncava,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
slopeFormValueCode-S,straight,recta,recta,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
slopeFormValueCode-T,terraced,aterrazada,aterrazada,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
slopeFormValueCode-V,convex,convexa,convexa,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
slopeFormValueCode-X,complex (irregular),compleja (irregular),compleja (irregular),auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
slopeGradientClassValueCode-1,Flat,plano,plano,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
slopeGradientClassValueCode-10,Very steep,muy escarpada,muy escarpada,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
slopeGradientClassValueCode-2,Level,llano,llano,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
slopeGradientClassValueCode-3,Nearly level,casi llano,casi llano,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
slopeGradientClassValueCode-4,Very gently sloping,muy suavemente inclinada,muy suavemente inclinada,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
slopeGradientClassValueCode-5,Gently sloping,suavemente inclinada,suavemente inclinada,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
slopeGradientClassValueCode-6,Sloping,inclinada,inclinada,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
slopeGradientClassValueCode-7,Strongly sloping,fuertemente inclinada,fuertemente inclinada,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
slopeGradientClassValueCode-8,Moderately steep,moderadamente escarpada,moderadamente escarpada,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
slopeGradientClassValueCode-9,Steep,escarpada,escarpada,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
