id,en,suggestion,reviewed,source,reviewer,notes
structureGradeValueCode-MS,Moderate to strong,moderada a forte,moderada a forte,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
structureGradeValueCode-ST,Strong,forte,forte,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
structureGradeValueCode-WE,Weak,fraca,fraca,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
structureGradeValueCode-WM,Weak to moderate,fraca a moderada,fraca a moderada,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
structureSizeValueCode-CO,Coarse/thick,grossa,grossa,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
structureSizeValueCode-EC,Extremely coarse,extremamente grossa,extremamente grossa,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
structureSizeValueCode-FI,Fine/thin,fina,fina,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
structureSizeValueCode-ME,Medium,média,média,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
structureSizeValueCode-VC,Very coarse/thick,muito grossa,muito grossa,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
structureSizeValueCode-VF,Very fine/thin,muito fina,muito fina,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockSizeValueCode-A,Artefacts,artefatos,artefatos,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockSizeValueCode-AC,Coarse artefacts,artefatos grossos,artefatos grossos,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockSizeValueCode-AF,Fine artefacts,artefatos finos,artefatos finos,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockSizeValueCode-AM,Medium artefacts,artefatos médios,artefatos médios,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockSizeValueCode-AV,Very fine artefacts,artefatos muito finos,artefatos muito finos,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockSizeValueCode-BL,Boulders and large boulders,matacões e blocos grandes,matacões e blocos grandes,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockSizeValueCode-C,Combination of classes,combinação de classes,combinação de classes,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockSizeValueCode-CS,Coarse gravel and stones,cascalho grosso e pedras,cascalho grosso e pedras,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockSizeValueCode-FM,Fine and medium gravel/artefacts,cascalho/artefatos finos e médios,cascalho/artefatos finos e médios,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockSizeValueCode-MC,Medium and coarse gravel/artefacts,cascalho/artefatos médios e grossos,cascalho/artefatos médios e grossos,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockSizeValueCode-R,Rock fragments,fragmentos de rocha,fragmentos de rocha,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockSizeValueCode-RB,Boulders,matacões,matacões,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockSizeValueCode-RC,Coarse gravel,cascalho grosso,cascalho grosso,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockSizeValueCode-RF,Fine gravel,cascalho fino,cascalho fino,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockSizeValueCode-RL,Large boulders,blocos grandes,blocos grandes,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockSizeValueCode-RM,Medium gravel,cascalho médio,cascalho médio,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockSizeValueCode-RS,Stones,pedras,pedras,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockSizeValueCode-SB,Stones and boulders,pedras e matacões,pedras e matacões,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockShapeValueCode-A,Angular,angular,angular,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockShapeValueCode-F,Flat,achatado,achatado,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockShapeValueCode-R,Rounded,arredondado,arredondado,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockShapeValueCode-S,Subrounded,subarredondado,subarredondado,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockAbundanceValueCode-A,Abundant,abundante,abundante,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockAbundanceValueCode-C,Common,comum,comum,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockAbundanceValueCode-D,Dominant,dominante,dominante,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockAbundanceValueCode-F,Few,poucos,poucos,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockAbundanceValueCode-M,Many,muitos,muitos,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockAbundanceValueCode-N,None,nenhum,nenhum,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockAbundanceValueCode-S,Stone line,linha de pedras,linha de pedras,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
rockAbundanceValueCode-V,Very few,muito poucos,muito poucos,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
plasticityValueCode-NPL,Non-plastic,não plástica,não plástica,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
plasticityValueCode-PL,Plastic,plástica,plástica,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
plasticityValueCode-PVP,plastic to very plastic,plástica a muito plástica,plástica a muito plástica,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
plasticityValueCode-SPL,Slightly plastic,ligeiramente plástica,ligeiramente plástica,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
plasticityValueCode-SPP,slightly plastic to plastic,ligeira a plástica,ligeira a plástica,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
plasticityValueCode-VPL,Very plastic,muito plástica,muito plástica,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
stickinessValueCode-NST,Non-sticky,não pegajosa,não pegajosa,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
stickinessValueCode-SSS,slightly sticky to sticky,ligeira a pegajosa,ligeira a pegajosa,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
stickinessValueCode-SST,Slightly sticky,ligeiramente pegajosa,ligeiramente pegajosa,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
stickinessValueCode-ST,Sticky,pegajosa,pegajosa,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
stickinessValueCode-SVS,sticky to very sticky,pegajosa a muito pegajosa,pegajosa a muito pegajosa,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
stickinessValueCode-VST,Very sticky,muito pegajosa,muito pegajosa,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
consistenceDryValueCode-EHA,Extremely hard,extremamente duro,extremamente duro,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
consistenceDryValueCode-HA,Hard,duro,duro,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
consistenceDryValueCode-HVH,hard to very hard,duro a muito duro,duro a muito duro,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
consistenceDryValueCode-LO,Loose,solto,solto,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
consistenceDryValueCode-SHA,Slightly hard,ligeiramente duro,ligeiramente duro,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
consistenceDryValueCode-SHH,slightly hard to hard,ligeiramente duro a duro,ligeiramente duro a duro,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
consistenceDryValueCode-SO,Soft,macio,macio,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
consistenceDryValueCode-SSH,soft to slightly hard,macio a ligeiramente duro,macio a ligeiramente duro,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
consistenceDryValueCode-VHA,Very hard,muito duro,muito duro,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
consistenceMoistValueCode-EFI,Extremely firm,extremamente firme,extremamente firme,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
consistenceMoistValueCode-FI,Firm,firme,firme,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
consistenceMoistValueCode-FR,Friable,friável,friável,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
consistenceMoistValueCode-LO,Loose,solto,solto,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
consistenceMoistValueCode-VFI,Very firm,muito firme,muito firme,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
consistenceMoistValueCode-VFR,Very friable,muito friável,muito friável,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
fragmentsClassValueCode-FGF1,FragmentsGravimetricFraction01,fração gravimétrica 01,fração gravimétrica 01,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
fragmentsClassValueCode-FGF2,FragmentsGravimetricFraction02,fração gravimétrica 02,fração gravimétrica 02,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
fragmentsClassValueCode-FGF3,FragmentsGravimetricFraction03,fração gravimétrica 03,fração gravimétrica 03,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
fragmentsClassValueCode-FGF4,FragmentsGravimetricFraction04,fração gravimétrica 04,fração gravimétrica 04,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
fragmentsClassValueCode-FGT,FragmentsGravimetricTotal,fração gravimétrica total,fração gravimétrica total,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
fragmentsClassValueCode-FV1,FragmentsVolumetric01,fração volumétrica 01,fração volumétrica 01,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
fragmentsClassValueCode-FV2,FragmentsVolumetric02,fração volumétrica 02,fração volumétrica 02,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
fragmentsClassValueCode-FV3,FragmentsVolumetric03,fração volumétrica 03,fração volumétrica 03,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
fragmentsClassValueCode-FVE,FragmentsVolumetricEstimate,estimativa volumétrica de fragmentos,estimativa volumétrica de fragmentos,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
fragmentsClassValueCode-FVT,FragmentsVolumetricTotal,fração volumétrica total,fração volumétrica total,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
fragmentsSizeValueCode-B,Boulders,matacões,matacões,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
fragmentsSizeValueCode-C,Coarse gravel,cascalho grosso,cascalho grosso,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
fragmentsSizeValueCode-F,Fine gravel,cascalho fino,cascalho fino,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
fragmentsSizeValueCode-L,Large boulders,blocos grandes,blocos grandes,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
fragmentsSizeValueCode-M,Medium gravel,cascalho médio,cascalho médio,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
fragmentsSizeValueCode-S,Stones,pedras,pedras,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
fragmentCoverValueCode-A,Abundant,abundante,abundante,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
fragmentCoverValueCode-C,Common,comum,comum,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
fragmentCoverValueCode-D,Dominant,dominante,dominante,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
fragmentCoverValueCode-F,Few,poucos,poucos,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
fragmentCoverValueCode-M,Many,muitos,muitos,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
fragmentCoverValueCode-N,None,nenhum,nenhum,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
fragmentCoverValueCode-V,Very few,muito poucos,muito poucos,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
majorLandFormValueCode-L,level land,terreno plano,terreno plano,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
majorLandFormValueCode-LD,depression,depressão,depressão,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
majorLandFormValueCode-LL,plateau,planalto,planalto,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
majorLandFormValueCode-LP,plain,planície,planície,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
majorLandFormValueCode-LV,valley floor,fundo de vale,fundo de vale,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
majorLandFormValueCode-S,sloping land,terreno inclinado,terreno inclinado,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
majorLandFormValueCode-SE,medium-gradient escarpment zone,zona de escarpa de gradiente médio,zona de escarpa de gradiente médio,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
majorLandFormValueCode-SH,medium-gradient hill,colina de gradiente médio,colina de gradiente médio,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
majorLandFormValueCode-SM,medium-gradient mountain,montanha de gradiente médio,montanha de gradiente médio,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
majorLandFormValueCode-SP,dissected plain,planície dissecada,planície dissecada,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
majorLandFormValueCode-SV,medium-gradient valley,vale de gradiente médio,vale de gradiente médio,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
majorLandFormValueCode-T,steep land,terreno íngreme,terreno íngreme,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
majorLandFormValueCode-TE,high-gradient escarpment zone,zona de escarpa de gradiente alto,zona de escarpa de gradiente alto,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
majorLandFormValueCode-TH,high-gradient hill,colina de gradiente alto,colina de gradiente alto,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
majorLandFormValueCode-TM,high-gradient mountain,montanha de gradiente alto,montanha de gradiente alto,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
majorLandFormValueCode-TV,high-gradient valley,vale de gradiente alto,vale de gradiente alto,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
physiographyValueCode-BOdl,Bottom (drainage line),fundo (linha de drenagem),fundo (linha de drenagem),auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
physiographyValueCode-BOf,Bottom (flat),fundo (plano),fundo (plano),auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
physiographyValueCode-CR,Crest (summit),crista (cume),crista (cume),auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
physiographyValueCode-HI,Higher part (rise),parte alta (elevação),parte alta (elevação),auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
physiographyValueCode-IN,Intermediate part (talf),parte intermediária (talvegue),parte intermediária (talvegue),auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
physiographyValueCode-LO,Lower part (and dip),parte baixa (e mergulho),parte baixa (e mergulho),auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
physiographyValueCode-LS,Lower slope (foot slope),baixa encosta (sopé),baixa encosta (sopé),auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
physiographyValueCode-MS,Middle slope (back slope),meia encosta,meia encosta,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
physiographyValueCode-TS,Toe slope,sopé,sopé,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
physiographyValueCode-UP,Upper slope (shoulder),alta encosta (ombro),alta encosta (ombro),auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
slopeFormValueCode-C,concave,côncava,côncava,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
slopeFormValueCode-S,straight,retilínea,retilínea,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
slopeFormValueCode-T,terraced,em terraços,em terraços,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
slopeFormValueCode-V,convex,convexa,convexa,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
slopeFormValueCode-X,complex (irregular),complexa (irregular),complexa (irregular),auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
slopeGradientClassValueCode-1,Flat,achatado,plano,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology [post-review fix]
slopeGradientClassValueCode-10,Very steep,muito íngreme,muito íngreme,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
slopeGradientClassValueCode-2,Level,plano,plano,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
slopeGradientClassValueCode-3,Nearly level,quase plano,quase plano,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
slopeGradientClassValueCode-4,Very gently sloping,muito suavemente inclinado,muito suavemente inclinado,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
slopeGradientClassValueCode-5,Gently sloping,suavemente inclinado,suavemente inclinado,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
slopeGradientClassValueCode-6,Sloping,inclinado,inclinado,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
slopeGradientClassValueCode-7,Strongly sloping,fortemente inclinado,fortemente inclinado,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
slopeGradientClassValueCode-8,Moderately steep,moderadamente íngreme,moderadamente íngreme,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
slopeGradientClassValueCode-9,Steep,íngreme,íngreme,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
